City,Country,Latitude,Longitude,Year,Hemisphere,AverageTemperature,EastWest
Trondheim,Norway,63.49,9,1990,North,6.352166667,East
Trondheim,Norway,63.49,9,1991,North,5.6015,East
Trondheim,Norway,63.49,9,1992,North,5.752166667,East
Trondheim,Norway,63.49,9,1993,North,4.917416667,East
Trondheim,Norway,63.49,9,1994,North,4.821666667,East
Trondheim,Norway,63.49,9,1995,North,4.956,East
Trondheim,Norway,63.49,9,1996,North,4.6645,East
Trondheim,Norway,63.49,9,1997,North,5.601,East
Trondheim,Norway,63.49,9,1998,North,5.31525,East
Trondheim,Norway,63.49,9,1999,North,5.687083333,East
Trondheim,Norway,63.49,9,2000,North,5.926833333,East
Trondheim,Norway,63.49,9,2001,North,4.938166667,East
Trondheim,Norway,63.49,9,2002,North,6.19925,East
Trondheim,Norway,63.49,9,2003,North,6.30875,East
Trondheim,Norway,63.49,9,2004,North,6.068333333,East
Trondheim,Norway,63.49,9,2005,North,6.010166667,East
Trondheim,Norway,63.49,9,2006,North,6.700833333,East
Trondheim,Norway,63.49,9,2007,North,5.852833333,East
Trondheim,Norway,63.49,9,2008,North,6.28575,East
Trondheim,Norway,63.49,9,2009,North,5.96025,East
Trondheim,Norway,63.49,9,2010,North,3.905916667,East
Trondheim,Norway,63.49,9,2011,North,6.5085,East
Trondheim,Norway,63.49,9,2012,North,5.022416667,East
Trondheim,Norway,63.49,9,2013,North,5.6925,East
